country,population,gdp,co2,primary_energy_consumption,consumption_co2,complete_core
Afghanistan,1.0,1.0,1.0,1.0,0.0,True
Albania,1.0,1.0,1.0,1.0,1.0,True
Algeria,1.0,1.0,1.0,1.0,0.0,True
Andorra,1.0,0.0,1.0,0.0,0.0,False
Angola,1.0,1.0,1.0,1.0,0.0,True
Anguilla,1.0,0.0,1.0,0.0,0.0,False
Antarctica,0.0,0.0,1.0,1.0,0.0,False
Antigua and Barbuda,1.0,0.0,1.0,1.0,0.0,False
Argentina,1.0,1.0,1.0,1.0,1.0,True
Armenia,1.0,1.0,1.0,0.939,1.0,False
Aruba,1.0,0.0,1.0,1.0,0.0,False
Australia,1.0,1.0,1.0,1.0,1.0,True
Austria,1.0,1.0,1.0,1.0,1.0,True
Azerbaijan,1.0,1.0,1.0,1.0,1.0,True
Bahamas,1.0,0.0,1.0,1.0,0.0,False
Bahrain,1.0,1.0,1.0,1.0,1.0,True
Bangladesh,1.0,1.0,1.0,1.0,1.0,True
Barbados,1.0,1.0,1.0,1.0,0.0,True
Belarus,1.0,1.0,1.0,1.0,1.0,True
Belgium,1.0,1.0,1.0,1.0,1.0,True
Belize,1.0,0.0,1.0,1.0,0.0,False
Benin,1.0,1.0,1.0,1.0,1.0,True
Bermuda,1.0,0.0,1.0,1.0,0.0,False
Bhutan,1.0,0.0,1.0,1.0,0.0,False
Bolivia,1.0,1.0,1.0,1.0,1.0,True
Bonaire Sint Eustatius and Saba,1.0,0.0,1.0,0.0,0.0,False
Bosnia and Herzegovina,1.0,1.0,1.0,0.939,0.0,False
Botswana,1.0,1.0,1.0,1.0,1.0,True
Brazil,1.0,1.0,1.0,1.0,1.0,True
British Virgin Islands,1.0,0.0,1.0,1.0,0.0,False
Brunei,1.0,0.0,1.0,1.0,1.0,False
Bulgaria,1.0,1.0,1.0,1.0,1.0,True
Burkina Faso,1.0,1.0,1.0,1.0,1.0,True
Burundi,1.0,1.0,1.0,1.0,0.0,True
Cambodia,1.0,1.0,1.0,1.0,1.0,True
Cameroon,1.0,1.0,1.0,1.0,1.0,True
Canada,1.0,1.0,1.0,1.0,1.0,True
Cape Verde,1.0,1.0,1.0,1.0,0.0,True
Central African Republic,1.0,1.0,1.0,1.0,0.0,True
Chad,1.0,1.0,1.0,1.0,0.0,True
Chile,1.0,1.0,1.0,1.0,1.0,True
China,1.0,1.0,1.0,1.0,1.0,True
Christmas Island,0.0,0.0,0.879,0.0,0.0,False
Colombia,1.0,1.0,1.0,1.0,1.0,True
Comoros,1.0,1.0,1.0,1.0,0.0,True
Congo,1.0,1.0,1.0,1.0,0.0,True
Cook Islands,1.0,0.0,1.0,1.0,0.0,False
Costa Rica,1.0,1.0,1.0,1.0,1.0,True
Cote d'Ivoire,1.0,1.0,1.0,1.0,1.0,True
Croatia,1.0,1.0,1.0,1.0,1.0,True
Cuba,1.0,1.0,1.0,1.0,0.0,True
Curacao,1.0,0.0,1.0,0.0,0.0,False
Cyprus,1.0,1.0,1.0,1.0,1.0,True
Czechia,1.0,1.0,1.0,1.0,1.0,True
Democratic Republic of Congo,1.0,1.0,1.0,1.0,0.0,True
Denmark,1.0,1.0,1.0,1.0,1.0,True
Djibouti,1.0,1.0,1.0,1.0,0.0,True
Dominica,1.0,1.0,1.0,1.0,0.0,True
Dominican Republic,1.0,1.0,1.0,1.0,1.0,True
East Timor,1.0,0.0,0.879,0.606,0.0,False
Ecuador,1.0,1.0,1.0,1.0,1.0,True
Egypt,1.0,1.0,1.0,1.0,1.0,True
El Salvador,1.0,1.0,1.0,1.0,1.0,True
Equatorial Guinea,1.0,1.0,1.0,1.0,0.0,True
Eritrea,1.0,0.0,0.879,0.879,0.0,False
Estonia,1.0,1.0,1.0,1.0,1.0,True
Eswatini,1.0,1.0,1.0,1.0,0.0,True
Ethiopia,1.0,1.0,1.0,1.0,1.0,True
Faroe Islands,1.0,0.0,1.0,1.0,0.0,False
Fiji,1.0,0.0,1.0,1.0,0.0,False
Finland,1.0,1.0,1.0,1.0,1.0,True
France,1.0,1.0,1.0,1.0,1.0,True
French Polynesia,1.0,0.0,1.0,1.0,0.0,False
Gabon,1.0,1.0,1.0,1.0,0.0,True
Gambia,1.0,1.0,1.0,1.0,0.0,True
Georgia,1.0,1.0,1.0,0.939,1.0,False
Germany,1.0,1.0,1.0,1.0,1.0,True
Ghana,1.0,1.0,1.0,1.0,1.0,True
Greece,1.0,1.0,1.0,1.0,1.0,True
Greenland,1.0,0.0,1.0,1.0,0.0,False
Grenada,1.0,0.0,1.0,1.0,0.0,False
Guatemala,1.0,1.0,1.0,1.0,1.0,True
Guinea,1.0,1.0,1.0,1.0,1.0,True
Guinea-Bissau,1.0,1.0,1.0,1.0,0.0,True
Guyana,1.0,0.0,1.0,1.0,0.0,False
Haiti,1.0,1.0,1.0,1.0,0.0,True
Honduras,1.0,1.0,1.0,1.0,1.0,True
Hong Kong,1.0,1.0,1.0,1.0,1.0,True
